RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
96148,8224,90401,Zip,CA,CA,Santa Monica,Los Angeles-Long Beach-Anaheim,Los Angeles County,1306603
66505,8224,20613,Zip,MD,MD,Brandywine,Washington-Arlington-Alexandria,Prince Georges County,456149
68289,8226,24739,Zip,WV,WV,Princeton,Bluefield,Mercer County,108207
60152,8227,6096,Zip,CT,CT,Windsor Locks,Hartford-West Hartford-East Hartford,Hartford County,243576
73806,8227,36272,Zip,AL,AL,Piedmont,Anniston-Oxford-Jacksonville,Calhoun County,105878
72580,8229,33413,Zip,FL,FL,Greenacres,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,379642
58467,8229,1730,Zip,MA,MA,Bedford,Boston-Cambridge-Newton,Middlesex County,852034
81360,8231,53534,Zip,WI,WI,Edgerton,Janesville-Beloit,Rock County,256834
65558,8232,18643,Zip,PA,PA,Exeter Township,Scranton--Wilkes-Barre--Hazleton,Luzerne County,157122
60676,8233,7446,Zip,NJ,NJ,Ramsey,New York-Newark-Jersey City,Bergen County,637884
68625,8233,25504,Zip,WV,WV,Barboursville,Huntington-Ashland,Cabell County,147550
60498,8235,6901,Zip,CT,CT,Stamford,Bridgeport-Stamford-Norwalk,Fairfield County,267924
73125,8236,34479,Zip,FL,FL,Ocala,Ocala,Marion County,176507
87515,8236,67220,Zip,KS,KS,Wichita,Wichita,Sedgwick County,200275
71550,8238,31523,Zip,GA,GA,Brunswick,Brunswick,Glynn County,241324
63640,8239,14619,Zip,NY,NY,Rochester,Rochester,Monroe County,133943
100297,8240,99611,Zip,AK,AK,Kenai,,Kenai Peninsula Borough,251630
